District or State,Administrative Unit,Population,Total Hindu,Total Muslim,Total Sikh,Hindu Percentage,Muslim Percentage,Sikh Percentage,Alternate_Names
MADRAS,Province,49341810.0,42799822.0,3896452.0,0.0,86.74,7.9,0.0,
Vizagapatam,District,3845944.0,3507224.0,29122.0,0.0,91.19,0.76,0.0,
Agency,District,221437.0,79675.0,407.0,0.0,35.98,0.18,0.0,
Plains,District,3624507.0,3427549.0,28715.0,0.0,94.57,0.79,0.0,
Godavari East,District,2161863.0,1987415.0,32801.0,0.0,91.93,1.52,0.0,
Agency,District,271569.0,164075.0,3410.0,0.0,60.42,1.26,0.0,
Plains,District,1890294.0,1823340.0,29391.0,0.0,96.46,1.55,0.0,
Godavari West,District,1380088.0,1263181.0,29728.0,0.0,91.53,2.15,0.0,
Kistna,District,1444294.0,1232212.0,76722.0,0.0,85.32,5.31,0.0,
Guntur,District,2277283.0,1797256.0,183298.0,0.0,78.92,8.05,0.0,
Nellore,District,1617026.0,1416178.0,120004.0,0.0,87.58,7.42,0.0,
Cuddapah,District,1056507.0,863476.0,147258.0,0.0,81.73,13.94,0.0,
Kurnool,District,1146250.0,874289.0,170157.0,0.0,76.27,14.84,0.0,
Bellary,District,1051235.0,927070.0,112705.0,0.0,88.19,10.72,0.0,
Anantapur,District,1171419.0,1044117.0,118235.0,0.0,89.13,10.09,0.0,
Madras,District,777481.0,621049.0,95702.0,0.0,79.88,12.31,0.0,Chennai
Chingleput,District,1823955.0,1733280.0,43306.0,0.0,95.03,2.37,0.0,
Chittoor,District,1632395.0,1520731.0,97000.0,0.0,93.16,5.94,0.0,
North Arcot,District,2577540.0,2351516.0,174317.0,0.0,91.23,6.76,0.0,
Salem,District,2869226.0,2765058.0,79016.0,0.0,96.37,2.75,0.0,
Coimbatore,District,2809648.0,2651993.0,73169.0,0.0,94.39,2.6,0.0,
South Arcot,District,2608753.0,2449921.0,84118.0,0.0,93.91,3.22,0.0,
Tanjore,District,2563375.0,2299007.0,170414.0,0.0,89.69,6.65,0.0,
Trichinopoly,District,2194091.0,1990203.0,91668.0,0.0,90.71,4.18,0.0,
Madura,District,2446601.0,2243398.0,106788.0,0.0,91.69,4.36,0.0,
Ramnad,District,1979643.0,1736829.0,143344.0,0.0,87.73,7.24,0.0,
Tinnevelly,District,2244543.0,1834253.0,144950.0,0.0,81.72,6.46,0.0,
Nilgiris,District,209709.0,102766.0,17561.0,0.0,49.0,8.37,0.0,
Malabar,District,3929425.0,2478653.0,1337760.0,0.0,63.08,34.04,0.0,
South Kanara,District,1523516.0,1108147.0,214109.0,0.0,72.74,14.05,0.0,
BOMBAY,Province,20849840.0,16555390.0,1920368.0,0.0,79.4,9.21,0.0,
Bombay City,District,1489883.0,1020750.0,251318.0,0.0,68.51,16.87,0.0,
Northern Division,Division,5276593.0,3610794.0,561038.0,0.0,68.43,10.63,0.0,
Ahmedabad,District,1372171.0,1120805.0,178531.0,0.0,81.68,13.01,0.0,
Ahmedabad City,District,591267.0,426498.0,116301.0,0.0,72.13,19.67,0.0,
Broach & Panch Mahals,District,924527.0,496607.0,143830.0,0.0,53.71,15.56,0.0,
Kaira,District,914957.0,783809.0,89176.0,0.0,85.67,9.75,0.0,
Surat,District,881058.0,459807.0,76251.0,0.0,52.19,8.65,0.0,
Thana,District,932733.0,589704.0,43950.0,0.0,63.22,4.71,0.0,
Bombay Suburban,District,251147.0,160062.0,29300.0,0.0,63.73,11.67,0.0,
Central Division,Division,8197393.0,6803359.0,535654.0,0.0,82.99,6.53,0.0,
Ahmednagar,District,1142229.0,972783.0,61332.0,0.0,85.17,5.37,0.0,
East Khandesh,District,1327722.0,1105009.0,148542.0,0.0,83.23,11.19,0.0,
West Khandesh,District,912214.0,498114.0,48324.0,0.0,54.6,5.3,0.0,
Nasik,District,1113901.0,860667.0,68333.0,0.0,77.27,6.13,0.0,
Poona,District,1359408.0,1205333.0,70986.0,0.0,88.67,5.22,0.0,
Satara,District,1327249.0,1252039.0,49590.0,0.0,94.33,3.74,0.0,
Sholapur,District,1014670.0,909354.0,88547.0,0.0,89.62,8.73,0.0,
Southern Division,Division,5885971.0,5120487.0,572358.0,0.0,86.99,9.72,0.0,
Belgaum,District,1225428.0,1048554.0,110223.0,0.0,85.57,8.99,0.0,
Bijapur,District,975982.0,847783.0,122640.0,0.0,86.86,12.57,0.0,
Dharwar,District,1201016.0,998182.0,179104.0,0.0,83.11,14.91,0.0,
Kanara,District,441157.0,385729.0,35200.0,0.0,87.44,7.98,0.0,
Kolaba,District,668922.0,569300.0,33330.0,0.0,85.11,4.98,0.0,
Ratnagiri,District,1373466.0,1270939.0,91861.0,0.0,92.54,6.69,0.0,
BENGAL,Province,,,,,,,,
British Territory,District,60306525.0,25059024.0,33005434.0,0.0,41.55,54.73,0.0,
Burdwan Division,Division,10287369.0,8125185.0,1429500.0,0.0,78.98,13.9,0.0,
Burdwan,District,1890732.0,1393920.0,336665.0,0.0,73.72,17.81,0.0,
Birbhum,District,1048317.0,686436.0,287310.0,0.0,65.48,27.41,0.0,
Bankura,District,1289640.0,1078559.0,55564.0,0.0,83.63,4.31,0.0,
Midnapur,District,3190647.0,2681963.0,246559.0,0.0,84.06,7.73,0.0,
Hooghly,District,1377729.0,1099544.0,207077.0,0.0,79.81,15.03,0.0,
Howrah,District,1490304.0,1184863.0,296325.0,0.0,79.5,19.88,0.0,
Presidency Division,Division,12817087.0,6883217.0,5711354.0,0.0,53.7,44.56,0.0,
24-Parganas,District,3536386.0,2310936.0,1148180.0,0.0,65.35,32.47,0.0,
Calcutta,District,2108891.0,1531512.0,497535.0,0.0,72.62,23.59,0.0,Kolkata
Nadia,District,1759846.0,657950.0,1078007.0,0.0,37.39,61.26,0.0,
Murshidabad,District,1640530.0,684987.0,927747.0,0.0,41.75,56.55,0.0,
Jessore,District,1828216.0,721079.0,1100713.0,0.0,39.44,60.21,0.0,
Khulna,District,1943218.0,977693.0,959172.0,0.0,50.31,49.36,0.0,
Rajshahi Division,Division,12040465.0,3673809.0,7528117.0,0.0,30.51,62.52,0.0,
Rajshahi,District,1571750.0,329230.0,1173285.0,0.0,20.95,74.65,0.0,
Dinajpur,District,1926833.0,774622.0,967246.0,0.0,40.2,50.2,0.0,
Jalpaiguri,District,1089513.0,551647.0,251460.0,0.0,50.63,23.08,0.0,
Darjeeling,District,376369.0,172496.0,9125.0,0.0,45.83,2.42,0.0,
Rangpur,District,2877847.0,802849.0,2055186.0,0.0,27.9,71.41,0.0,
Bogra,District,1260463.0,187532.0,1057902.0,0.0,14.88,83.93,0.0,
Pabna,District,1705072.0,383755.0,1313968.0,0.0,22.51,77.06,0.0,
Malda,District,1232618.0,465678.0,699945.0,0.0,37.78,56.79,0.0,
Dacca Division,Division,16683714.0,4621637.0,11944172.0,0.0,27.7,71.59,0.0,
Dacca,District,4222143.0,1360132.0,2841261.0,0.0,32.21,67.29,0.0,Dhaka
Mymensingh,District,6023758.0,1296638.0,4664548.0,0.0,21.53,77.44,0.0,
Faridpur,District,2888803.0,1006238.0,1871336.0,0.0,34.83,64.78,0.0,
Bakarganj,District,3549010.0,958629.0,2567027.0,0.0,27.01,72.33,0.0,Barisal
Chittagong Division,Division,8477890.0,1755176.0,6392291.0,0.0,20.7,75.4,0.0,
Tippera,District,3860139.0,879960.0,2975901.0,0.0,22.8,77.09,0.0,
Noakhali,District,2217402.0,412261.0,1803937.0,0.0,18.59,81.35,0.0,
Chittagong,District,2153296.0,458074.0,1605183.0,0.0,21.27,74.55,0.0,
Chittagong Hill Tracts,District,247053.0,4881.0,7270.0,0.0,1.98,2.94,0.0,
UNITED PROVINCES,Province,55020617.0,45811669.0,8416308.0,0.0,83.26,15.3,0.0,
Agra Province,District,40906147.0,33908660.0,6231062.0,0.0,82.89,15.23,0.0,
Meerut Division,Division,5716451.0,4121070.0,1433434.0,0.0,72.09,25.08,0.0,
Dehra Dun,District,266244.0,213647.0,41426.0,0.0,80.24,15.56,0.0,
Saharanpur,District,1179643.0,755296.0,396287.0,0.0,64.03,33.59,0.0,
Muzaffarnagar,District,1056759.0,727322.0,307519.0,0.0,68.83,29.1,0.0,
Meerut,District,1896582.0,1391754.0,444383.0,0.0,73.38,23.43,0.0,
Bulandshahr,District,1317223.0,1033051.0,243819.0,0.0,78.43,18.51,0.0,
Agra Division,Division,5326768.0,4606749.0,619479.0,0.0,86.48,11.63,0.0,
Aligarh,District,1372641.0,1151810.0,186381.0,0.0,83.91,13.58,0.0,
Muttra,District,806992.0,721267.0,79218.0,0.0,89.38,9.82,0.0,Mathura
Agra,District,1289774.0,1065341.0,199787.0,0.0,82.6,15.49,0.0,Firozabad
Mainpuri,District,872601.0,818686.0,44659.0,0.0,93.82,5.12,0.0,
Etah,District,984760.0,849645.0,109434.0,0.0,86.28,11.11,0.0,
Rohilkhand Division,Division,6195996.0,4293608.0,1726363.0,0.0,69.3,27.86,0.0,
Bareilly,District,1176197.0,822530.0,334285.0,0.0,69.93,28.42,0.0,Pilibhit
Bijnor,District,910223.0,554551.0,337126.0,0.0,60.92,37.04,0.0,
Budaun,District,1162322.0,922300.0,210168.0,0.0,79.35,18.08,0.0,
Moradabad,District,1473151.0,834384.0,567358.0,0.0,56.64,38.51,0.0,"Sambhal, Amroha"
Shahjahanpur,District,983385.0,805329.0,173878.0,0.0,81.89,17.68,0.0,
Pilibhit,District,490718.0,384514.0,103548.0,0.0,78.36,21.1,0.0,
Allahabad Division,Division,6014813.0,5228827.0,735545.0,0.0,86.93,12.23,0.0,
Farrukhabad,District,955377.0,827842.0,122407.0,0.0,86.65,12.81,0.0,
Etawah,District,883264.0,823487.0,53234.0,0.0,93.23,6.03,0.0,
Cawnpore,District,1556247.0,1342579.0,201392.0,0.0,86.27,12.94,0.0,Kanpur
Fatehpur,District,806944.0,707628.0,98629.0,0.0,87.69,12.22,0.0,
Allahabad,District,1812981.0,1527291.0,259883.0,0.0,84.24,14.33,0.0,Prayagraj
Jhansi Division,Division,2553492.0,2357737.0,153263.0,0.0,92.33,6.0,0.0,
Jhansi,District,773002.0,703133.0,42575.0,0.0,90.96,5.51,0.0,
Jalaun,District,482384.0,444636.0,31137.0,0.0,92.17,6.45,0.0,
Hamirpur,District,575538.0,529903.0,37461.0,0.0,92.07,6.51,0.0,Mahoba
Banda,District,722568.0,680005.0,42090.0,0.0,94.11,5.83,0.0,Chitrakoot
Benares Division,Division,5545257.0,4925127.0,468624.0,0.0,88.82,8.45,0.0,
Benares,District,1218629.0,1057661.0,136129.0,0.0,86.79,11.17,0.0,Varanasi
Mirzapur,District,899929.0,801073.0,51506.0,0.0,89.02,5.72,0.0,Bhadohi
Jaunpur,District,1387439.0,1262174.0,121556.0,0.0,90.97,8.76,0.0,Jaunpur
Ghazipur,District,985380.0,873477.0,89586.0,0.0,88.64,9.09,0.0,
Ballia,District,1053880.0,930742.0,69847.0,0.0,88.32,6.63,0.0,
Gorakhpur Division,Division,7972108.0,6827128.0,1038637.0,0.0,85.64,13.03,0.0,
Gorakhpur,District,3963574.0,3430654.0,430333.0,0.0,86.55,10.86,0.0,"Maharajganj, Kushinagar"
Basti,District,2185641.0,1797646.0,387598.0,0.0,82.25,17.73,0.0,"Siddharthnagar, Sant Kabir Nagar"
Azamgarh,District,1822893.0,1598828.0,220706.0,0.0,87.71,12.11,0.0,
Kumaon Division,Division,1581262.0,1518414.0,55717.0,0.0,96.03,3.52,0.0,
Naini Tal,District,291861.0,241657.0,46949.0,0.0,82.8,16.09,0.0,
Almora,District,687286.0,681470.0,3548.0,0.0,99.15,0.52,0.0,
Garhwal,District,602115.0,595287.0,5220.0,0.0,98.87,0.87,0.0,
OUDH,Province,14114470.0,11903009.0,2185246.0,0.0,84.33,15.48,0.0,
Lucknow Division,Division,6530932.0,5573452.0,938371.0,0.0,85.34,14.37,0.0,
Lucknow,District,949728.0,716909.0,220022.0,0.0,75.49,23.17,0.0,
Unao,District,959542.0,868656.0,90665.0,0.0,90.53,9.45,0.0,
Rae Bareli,District,1064804.0,960129.0,102278.0,0.0,90.17,9.61,0.0,
Sitapur,District,1293554.0,1079699.0,212419.0,0.0,83.47,16.42,0.0,
Hardoi,District,1239279.0,1092241.0,146259.0,0.0,88.14,11.8,0.0,
Kheri,District,1024025.0,855818.0,166728.0,0.0,83.57,16.28,0.0,
Fyzabad Division,Division,7583538.0,6329557.0,1246875.0,0.0,83.46,16.44,0.0,
Fyzabad,District,1319425.0,1161484.0,157070.0,0.0,88.03,11.9,0.0,Ayodhya
Gonda,District,1719644.0,1390468.0,327866.0,0.0,80.86,19.07,0.0,Balrampur
Bahraich,District,1240569.0,956078.0,283107.0,0.0,77.07,22.82,0.0,Shravasti
Sultanpur,District,1100368.0,961975.0,138170.0,0.0,87.42,12.56,0.0,
Partabgarh,District,91967.0,42935.0,4473.0,0.0,46.69,4.86,0.0,
Bara Banki,District,1162508.0,948440.0,212825.0,0.0,81.59,18.31,0.0,
